Name,Specialty,Symptoms,Usual onset,Duration,Causes,Risk factors,Diagnostic method,Prevention,Treatment,Prognosis,Frequency,Medication,ImageURL
Mitral valve disease,Cardiology,"Heart murmur, shortness of breath during exercise or laying down, fatigue, palpitations, swollen feet or ankles",,,"mitral valve prolapse, ageing, rheumatic fever, mitral annular calcification, infective endocarditis, hypertrophic cardiomyopathy",,,,"Medication, Mitral valve repair, Mitral valve replacement, MitraClip",,,,https://upload.wikimedia.org/wikipedia/commons/4/4e/Blausen_0645_MitralValve_RegurgitationvsStenosis.png
Mittelschmerz,Gynaecology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Rod_of_Asclepius2.svg
Mixed connective tissue disease,"Immunology, rheumatology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Molar pregnancy,Obstetrics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/89/Blasenmole_Computertomographie_axial.jpg
Mold allergy,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg
Molluscum contagiosum,Dermatology,"Small, raised, pink lesions with a dimple in the center",Children 1 to 10 years of age,"Usually 6-12 months, may last up to four years",Molluscum contagiosum virus spread by direct contact or contaminated objects,"Weak immune system, atopic dermatitis, crowded living conditions",Based on appearance,"Hand washing, not sharing personal items","None, freezing, opening up the lesion and scraping the inside, laser therapy",,122Â million / 1.8% (2010),"Cimetidine, podophyllotoxin",https://upload.wikimedia.org/wikipedia/commons/7/73/Low_magnification_micrograph_of_a_molluscum_contagiosum_lesion.jpg
Monoclonal gammopathy of undetermined significance ( MGUS ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/26/Electrophoresis.png
Mononucleosis,Infectious disease,"Fever, sore throat, enlarged lymph nodes in the neck, tiredness",,2â€“4 weeks,Epsteinâ€“Barr virus (EBV) usually spread via saliva,,Based on symptoms and blood tests,,"Drinking enough fluids, getting sufficient rest, pain medications such as paracetamol (acetaminophen) and ibuprofen",,"45 per 100,000 per year (U.S.)",,https://upload.wikimedia.org/wikipedia/commons/6/63/Cross_Reaction_Rash.JPG
Mood disorders,Psychiatry,,,,,,,,,,,"Antidepressants, mood stabilizers",https://upload.wikimedia.org/wikipedia/commons/e/ef/A_depressive_man_standing_by_a_country_pond_in_the_pouring_r_Wellcome_V0011388.jpg
Morning sickness,Obstetrics,"Nausea, vomiting",4th week of pregnancy,Until 16th week of pregnancy,Unknown,,Based on symptoms after other causes have been ruled out,Prenatal vitamins,Doxylamine and pyridoxine,,~75% of pregnancies,,https://upload.wikimedia.org/wikipedia/commons/0/05/Morning_sickness.svg
Morphea,Dermatology,,,,,,,,,,,,
Mosquito bites,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/50/Aedes_aegypti_E-A-Goeldi_1905.jpg
Movement disorders,NeurologyPsychiatry,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/96/Gray739.png
Moyamoya disease,Neurosurgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/MRA_Moya-moya-disease.JPG
MRSA infection,,,,,,,,,,,,,
Mucocutaneous lymph node syndrome,"Pediatrics, Rheumatology, Immunology","Fever > 5 days, large lymph nodes, rash, sore throat, diarrhea",< 5 years old,~ 3 weeks,Unknown,Age of < 5 years old,"Based on symptoms, ultrasound of the heart",,,Mortality 0.2% with treatment,"8â€“124 per 100,000 people under five","Aspirin, immunoglobulin",https://upload.wikimedia.org/wikipedia/commons/2/21/KawasAngio.png
Mucopolysaccharidosis type II,Endocrinology,"Skeletal abnormalities, hearing loss, retinal degeneration, enlarged liver and spleen",,,Defiency of the enzyme iduronate-2-sulfatase,,,,,"In severe cases, death usually occurs by age 15. In attenuated cases, patients may survive into their 50s","1 in 100,000 to 150,000 male births",,https://upload.wikimedia.org/wikipedia/commons/9/94/Dermatan_sulfate.svg
Multiple myeloma,Hematology and oncology,"Bone pain, fatigue:â€Š653",,Long term,Unknown,Obesity,"Blood or urine tests, bone marrow biopsy, medical imaging",,"Steroids, chemotherapy, thalidomide, stem cell transplant, bisphosphonates, radiation therapy",Five-year survival rate 54% / life expectancy 6 years (USA),"488,200 (affected during 2015)",,https://upload.wikimedia.org/wikipedia/commons/e/ef/Blausen_0656_MultipleMyeloma.png
Multiple personality disorder,"Psychiatry, clinical psychology","At least two distinct and relatively enduring personality states, trouble remembering certain events",,Long-term,Childhood trauma,,,,"Supportive care, psychotherapy",,~1.5â€“2% of people,,https://upload.wikimedia.org/wikipedia/commons/7/72/American_Lady_Against_The_Sky.jpg
Mumps,Infectious disease,"Parotitis and non-specific symptoms such as fever, headache, malaise, muscle pain, and loss of appetite",7â€“25 days after exposure,Usually less than two weeks,Mumps virus,Exposure to someone with mumps,"Antibody testing, viral cultures, and reverse transcription polymerase chain reaction",Vaccination,Supportive,"Usually excellent; case fatality rate of 1.6â€“3.8 people per 10,000",Most common in childhood and in countries that do not vaccinate,"Pain medication, intravenous immunoglobulin",
Muscle cramp,,sudden muscle pain and a paralysis-like immobility,,,,,,,"quinine, Stretching, massage, and drinking liquids",,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/Blausen_0801_SkeletalMuscle.png
Muscle strains,Emergency medicine,"Bruise, swelling, redness and soreness",,,Excessive stress and/or repeated injury on a muscle,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/76/2010-10-02_pulled_hamstring.jpg
Muscular dystrophy,Neuromuscular medicine,"Increasing weakening, breakdown of skeletal muscles, trouble walking",,Chronic,"Genetic (X-linked recessive, autosomal recessive, or autosomal dominant)",,Genetic testing,,"Pharmacotherapy, physical therapy, braces, corrective surgery, assisted ventilation",Depends on the particular disorder,,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Ankle_Foot_Orthosis_leg_brace_worn_on_the_left_foot_with_ankle_hinge.jpg
Myasthenia gravis,Neurology,"Varying degrees muscle weakness, double vision, drooping eyelids, trouble talking, trouble walking","Women under 40, men over 60",Long term,Autoimmune disease,,"Blood tests for specific antibodies, edrophonium test, nerve conduction studies",,"Medications, surgical removal of the thymus, plasmapheresis",,50 to 200 per million,"Acetylcholinesterase inhibitors (neostigmine, pyridostigmine), immunosuppressants",https://upload.wikimedia.org/wikipedia/commons/2/2a/Azathioprine.svg
Myelodysplastic syndromes,"Haematology, oncology","None, feeling tired, shortness of breath, easy bleeding, frequent infections",~ 70 years old,,,"Previous chemotherapy, radiation therapy, certain chemicals such as tobacco smoke, pesticides, and benzene, exposure to mercury or lead","Blood test, bone marrow biopsy",,"Supportive care, medications, stem cell transplantation",Typical survival time 2.5 years,,"Lenalidomide, antithymocyte globulin, azacitidine",https://upload.wikimedia.org/wikipedia/commons/0/02/Hypogranular_neutrophil_with_a_pseudo-Pelger-Huet_nucleus_in_MDS.jpg
Myelofibrosis,Oncology and Hematology,,,,,,,,,,,,
Myocardial infarction,"Cardiology, emergency medicine","Chest pain, shortness of breath, nausea, feeling faint, cold sweat, feeling tired; arm, neck, back, jaw, or stomach pain",,,Usually coronary artery disease,"High blood pressure, smoking, diabetes, lack of exercise, obesity, high blood cholesterol","Electrocardiograms (ECGs), blood tests, coronary angiography",,"Percutaneous coronary intervention, thrombolysis",STEMI 10% risk of death (developed world),15.9 million (2015),"Aspirin, nitroglycerin, heparin",https://upload.wikimedia.org/wikipedia/commons/4/48/AMI_pain_back.png
Myocardial ischemia,"Cardiology, cardiac surgery","Chest pain, shortness of breath",,,Atherosclerosis of the arteries of the heart,"High blood pressure, smoking, diabetes, lack of exercise, obesity, high blood cholesterol","Electrocardiogram, cardiac stress test, coronary computed tomographic angiography, coronary angiogram","Healthy diet, regular exercise, maintaining a healthy weight, not smoking","Percutaneous coronary intervention (PCI), coronary artery bypass surgery (CABG)",,110 million (2015),"Aspirin, beta blockers, nitroglycerin, statins",https://upload.wikimedia.org/wikipedia/commons/d/d1/Blausen_0257_CoronaryArtery_Plaque.png
Myocarditis,"Infectious disease, cardiology","Shortness of breath, chest pain, decreased ability to exercise, irregular heartbeat",,Hours to months,"Usually viral infection, also bacterial infections, certain medications, autoimmune disorders",,"Electrocardiogram, blood troponin, heart MRI, heart biopsy",,"Medications, implantable cardiac defibrillator, heart transplant",Variable,2.5 million with cardiomyopathy (2015),"ACE inhibitors, beta blockers, diuretics, corticosteroids, intravenous immunoglobulin",https://upload.wikimedia.org/wikipedia/commons/a/af/Eosinophilic_myocarditis_HE_stain.jpg
Myoclonus,Neurology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/84/Myoclonus-following-a-Peripheral-Nerve-Block-213472.f1.ogv
Myofascial pain syndrome,Rheumatology,,,,,,,,,,,,
Myxofibrosarcoma,"Dermatology, Dermatopathology, Pathology, Surgical oncology, Oncology",,,,Unknown,,,,,Guarded,,,
Naegleria infection,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/33/Naegleria_%28formes%29.png
Nasal and paranasal tumors,,,,,,,,,,,,,
Nasopharyngeal carcinoma,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8c/Diagram_showing_stage_T1_nasopharyngeal_cancer_CRUK_249.svg
Nearsightedness,"Ophthalmology, optometry","Distant objects appear blurry, close objects appear normal, headaches, eye strain",,,Combination of genetic and environmental factors,"Near work, greater time spent indoors, family history",Eye examination,Unknown,"Eyeglasses, contact lenses, surgery",,1.5 billion people (22%),,https://upload.wikimedia.org/wikipedia/commons/a/af/Briller2.JPG
Neck pain,Neurosurgery,,,,,,,,,,,,
Nephrogenic systemic fibrosis,Dermatology,,,,iatrogenic disease caused by exposure to gadolinium-based contrast agents,impaired kidney function is the major risk factor,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Nephrotic syndrome,Nephrology,"Swelling, weight gain, feeling tired, foamy urine",,,"Focal segmental glomerulosclerosis, membranous nephropathy, minimal change disease, diabetes, lupus",,"Urine testing, kidney biopsy",,Directed at underlying cause,,"5 per 100,000 per year",,https://upload.wikimedia.org/wikipedia/commons/e/ea/Diabetic_glomerulosclerosis_%281%29_HE.jpg
Neuroblastoma,Neuro-oncology,"Bone pain, lumps",Under 5 years old,,Genetic mutation,,Tissue biopsy,,"Observation, surgery, radiation, chemotherapy, stem cell transplantation","US five-year survival ~95% (< 1 year old), 68% (1â€“14 years old)","1 in 7,000 children",,https://upload.wikimedia.org/wikipedia/commons/e/e7/BiggeggSH-SY5Y.jpg
Neurodermatitis,Dermatology,"Thick leathery skin, exaggerated skin markings, small bumps, patches, scratch marks, scale",Gradual,,Excessive rubbing and scratching,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/03/Lichen_simplex_chronicus_-_very_low_mag.jpg
Neuroendocrine carcinoma of the skin,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b5/Merkel_Cell_Carcinoma_buttock_45-year-old_woman.jpg
Neuroendocrine tumors,Endocrine oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ea/Lymph_node_metastasis_from_neuroendocrine_tumor.jpg
Neurofibroma,Neuro-oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/34/Dermal_Neurofibroma.jpg
Neurofibromatosis,"Neurosurgery, neurology, Neuro-oncology","Small lumps within the skin, scoliosis, hearing loss, vision loss",Birth to early adulthood,Life long,Genetic,,"Symptoms, genetic testing",,"Surgery, radiation therapy","NF1: variable, but most of the time normal life expectancyNF2: shortened life expectancy","1 in 3,000 people (United States)",,https://upload.wikimedia.org/wikipedia/commons/4/4e/Autosomal_dominant_-_en.svg
Neuromyelitis optica spectrum disorder,"Neurology, ophthalmology","Vision loss, sensory loss, weakness, bladder dysfunction","Median: age 40 for AQP4-IgG, age 31 for MOG-IgG",,,"Female sex, genetic factors","Symptoms, blood antibody titers, MRI",,,,"Up to 1/10,000","Eculizumab, inebilizumab, satralizumab, rituximab, methylprednisolone, azathioprine, cellCept, mitoxantrone, methotrexate, intravenous immunoglobulin, cyclophosphamide",https://upload.wikimedia.org/wikipedia/commons/5/52/Acap.svg
"Neuropathy , autonomic",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5a/Blausen_0838_Sympathetic_Innervation.png
"Neuropathy , diabetic",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/04/Blausen_0311_DiabeticNeuropathy.png
Nevus,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Decrease2.svg
Nickel allergy,"Allergology, immunology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/19/Blausen_0014_AllergicDermatitis.png
Nicotine dependence,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cd/Anyone_Can_Become_Addicted_to_Drugs.webm
Niemann-Pick,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f1/Autosomal_recessive_-_en.svg
Nightmare disorder,Psychiatry,,,,,,,,,,c. 4%,,https://upload.wikimedia.org/wikipedia/commons/6/6d/%27The_Nightmare%27%2C_by_M.Z.D._Schmid_Wellcome_L0003603.jpg
Noctural enuresis,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg
Nonalcoholic fatty liver disease,Hepatology,"Asymptomatic, liver dysfunction",,Long term,"Genetic, environmental","Obesity, metabolic syndrome, type 2 diabetes mellitus, liver disease",Liver biopsy,,Weight loss (diet and exercise),Depends on type,"24% in worldwide population, 80% in obese, 20% in normal-weight",,https://upload.wikimedia.org/wikipedia/commons/9/9c/2_NASH_09_680x512px.tif
Non-Hodgkin 's lymphoma,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/08/Mantle_cell_lymphoma_-_intermed_mag.jpg
Nonmelanoma skin cancer,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Basal_cell_carcinoma.jpg
Nontropical sprue,"Gastroenterology, internal medicine","None or non-specific, abdominal distention, diarrhoea, constipation, malabsorption, weight loss, dermatitis herpetiformis",Any age,Lifelong,Reaction to gluten,"Genetic predisposition, type 1 diabetes, autoimmune thyroid disease, Down and Turner syndrome","Family history, blood antibody tests, intestinal biopsies, genetic testing, response to gluten withdrawal",,Gluten-free diet,,~1 in 135,,https://upload.wikimedia.org/wikipedia/commons/6/64/A2-gliadin-33mer.png
Noonan syndrome,"Medical genetics, pediatrics","Mildly unusual facial features, short height, congenital heart disease, bleeding problems, skeletal malformations",Present at birth,,Genetic mutation (autosomal dominant),,"Suspected based on symptoms, confirmed with genetic testing",,Based on the symptoms,Depends on the severity of heart problems,"1 in 1000 (1 in 2,000 severe disease)",Growth hormone,https://upload.wikimedia.org/wikipedia/commons/4/4e/Autosomal_dominant_-_en.svg
Norovirus infection,"Emergency medicine, pediatrics","Diarrhea, vomiting, stomach pain, headache",12 to 48 hours after exposure,1 to 3 days,Norovirus,,Based on symptoms,"Hand washing, disinfection of contaminated surfaces",Supportive care (drinking sufficient fluids or intravenous fluids),,685 million cases per year,,https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg
Nose fracture,"Emergency medicine, otorhinolaryngology","Nose bleed, swelling, bruising",Young males,,"Assault, trauma during sports, falls, motor vehicle collisions",,"Typically based on symptoms, occasionally plain X rays",,"Pain medication, cold compresses, possible reduction post resolution of swelling",Generally good,Common,,https://upload.wikimedia.org/wikipedia/commons/7/7e/BrokenNose.jpg
Novel coronavirus,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/%282020.04.17%29_Higieniza%C3%A7%C3%A3o_entrada_esta%C3%A7%C3%A3o_da_CPTM_%2849784811813%29.jpg
"Obesity , childhood",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cd/BMIBoys_1.svg
Obstetric cholestasis,Obstetrics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/11/Cholestasis_high_mag.jpg
Occupational asthma,Respiratory system,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/04/Research_to_Inform_the_Prevention_of_Asthma_in_Health_Care_%E2%80%93_Research_Study.webm
OCD,Psychiatry,"Feel the need to check things repeatedly, perform certain routines repeatedly, have certain thoughts repeatedly",Before 35 years,,Unknown,"Child abuse, stress",Based on the symptoms,,"Counseling, selective serotonin reuptake inhibitors, clomipramine",,2.3%,,
Ocular rosacea,Ophthalmology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/65/Eye_iris.jpg
Oculocutaneous albinism,"Ophthalmology, dermatology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Oculosympathetic palsy,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9d/Example_of_Horner%27s_syndrome_in_a_cat.jpg
Odontogenic tumors and cysts,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4d/Classic_keratocystic_odontogenic_tumour.jpg
Olfactory neuroblastoma,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e7/BiggeggSH-SY5Y.jpg
Oligodendroglioma,"Neuro-oncology, neurosurgery",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a4/Oligodendroglioma1_high_mag.jpg
Oppositional defiant disorder ( ODD ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/72/American_Lady_Against_The_Sky.jpg
Optic neuritis,"Ophthalmology, neurology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Crystal_Clear_app_kedit.svg
Oral cancer,"Oncology, oral and maxillofacial surgery, ENT surgery","Persistent rough white or red patch in the mouth lasting longer than 2 weeks, ulceration, lumps/bumps in the neck, pain, loose teeth, difficulty swallowing",,,,"Smoking, alcohol, HPV infection, sun exposure, chewing tobacco",Tissue biopsy,"Avoiding risk factors, HPV vaccination","Surgery, radiation, chemotherapy",Five-year survival ~ 65% (US 2015),"355,000 new cases (2018)",,https://upload.wikimedia.org/wikipedia/commons/9/99/Cancer_beagle.jpg
Oral lichen planus,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Lehman%2C_2009_Fig11.tiff
Orchitis,Urology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cd/2007-12-17AdventFlowerShop02.jpg
Osgood-Schlatter disease,Orthopedics,"Painful bump just below the knee, worse with activity and better with rest",Males between the ages of 10 and 15,Few weeks to months,,Sports that involve running or jumping,Based on symptoms,,"Applying cold, stretching, strengthening exercises",Good,~4%,NSAIDs,https://upload.wikimedia.org/wikipedia/commons/d/df/MaleWithOsgoodSchlatter.jpg
Osteoarthritis,"Rheumatology, orthopedics","Joint pain, stiffness, joint swelling, decreased range of motion",Over years,,"Connective tissue disease, previous joint injury, abnormal joint or limb development, inherited factors","Overweight, legs of different lengths, job with high levels of joint stress","Based on symptoms, supported by other testing",,"Exercise, efforts to decrease joint stress, support groups, pain medications, joint replacement",,237Â million / 3.3% (2015),,https://upload.wikimedia.org/wikipedia/commons/8/81/0910_Oateoarthritis_Hip_A.png
Osteochondritis dissecans,Orthopedic surgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/66/CT_and_projectional_radiography_of_osteochondritis_dissecans_-_annotated.jpg
Osteomalacia,Rheumatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/62/Calcitriol.svg
Osteomyelitis,"Infectious disease, orthopedics","Pain in a specific bone, overlying redness, fever, weakness",Young or old,Short or long term,"Bacterial, fungal","Diabetes, intravenous drug use, prior removal of the spleen, trauma to the area","Blood tests, medical imaging, bone biopsy",,"Antimicrobials, surgery",Low risk of death with treatment,"2.4 per 100,000 per year",,https://upload.wikimedia.org/wikipedia/commons/a/a7/BonescanOsteobothfeet.png
Osteonecrosis,Orthopedics,"Joint pain, decreased ability to move",Gradual,,,"Bone fractures, joint dislocations, alcoholism, high dose steroids","Medical imaging, biopsy",,"Medication, not walking on the affected leg, stretching, surgery",,"~15,000 per year (US)",,https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg
Osteophytes,Orthopedics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7f/Lateral_X-ray_of_lumbar_spine_spondylosis.jpg
Osteoporosis,"Rheumatology, Endocrinology, orthopedics",Increased risk of a broken bone,Older age,,,"Alcoholism, anorexia, European or Asian ethnicity, hyperthyroidism, gastrointestinal diseases, surgical removal of the ovaries, kidney disease, smoking, certain medications",Bone density scan,,"Good diet, exercise, fall prevention, stopping smoking",,"15% (50 year olds), 70% (over 80 year olds)",Bisphosphonates,https://upload.wikimedia.org/wikipedia/commons/9/91/615_Age_and_Bone_Mass.jpg
Osteosarcoma,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Canine_osteosarcoma.JPG
Otitis media,Otorhinolaryngology,"Ear pain, fever, hearing loss",,,"Viral, bacterial","Smoke exposure, daycare",,"Vaccination, breastfeeding",,,471 million (2015),"Paracetamol (acetaminophen), ibuprofen, benzocaine ear drops",
Ovarian cancer,"Oncology, gynecology","Early: vagueLater: bloating, pelvic pain, constipation, abdominal swelling, loss of appetite",Usual age of diagnosis 63 years old,,,"Never having children, hormone therapy after menopause, fertility medication, obesity, genetics",Tissue biopsy,,"Surgery, radiation therapy, chemotherapy",Five-year survival rate c. 49% (US),1.2 million (2015),,https://upload.wikimedia.org/wikipedia/commons/9/99/Clear_cell_carcinoma_hobnail_cells.png
Ovarian cysts,Gynecology,"None, bloating, lower abdominal pain, lower back pain",,,,,Ultrasound,Hormonal birth control,"Conservative management, pain medication, surgery",Usually good,8% symptomatic before menopause,,https://upload.wikimedia.org/wikipedia/commons/7/7c/2cmleftovariancyst.png
Ovarian hyperstimulation syndrome,Gynecology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c5/Vaginal_ultrasonography_in_OHSS_-_sagittal.png
Overactive bladder,Urology,"Frequent feeling of needing to urinate, incontinence",More common with age,Often years,Unknown,"Obesity, caffeine, constipation",Based on symptoms after ruling out other possible causes,,"Pelvic floor exercises, bladder training, drinking moderate fluids, weight loss",Not life-threatening,"~15% men, 25% women",,https://upload.wikimedia.org/wikipedia/commons/5/57/Illu_bladder.jpg
Oxyphil cell carcinoma,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/03/Hurthle_cell_neoplasm.jpg
Paget 's disease of bone,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/98/Paget%27s_disease_R_coxal.jpg
Paget 's disease of the nipple,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2e/Extramammary_Paget_disease_-_high_mag.jpg
"Pain , chest",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f5/GERD.png
Painful bladder syndrome,Urology,"Chronic pain of the bladder, feeling the need to urinate right away, needing to urinate often, pain with sex",Middle age,Long term,Unknown,,Based on the symptoms after ruling out other conditions,,"Lifestyle changes, medications, procedures",,0.5% of people,"Ibuprofen, pentosan polysulfate, amitriptyline",https://upload.wikimedia.org/wikipedia/commons/0/0f/JMedLife-03-167-g002.jpg
Painful intercourse ( dyspareunia ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg
Painful periods,Gynecology,"Pain during menstruation, diarrhea, nausea",Within a year of the first menstrual period,Less than 3 days (primary dysmenorrhea),"No underlying problem, uterine fibroids, adenomyosis, endometriosis",,"Pelvic exam, ultrasound",,"Heating pad, medication",Often improves with age,20â€“90% (women of reproductive age),"NSAIDs such as ibuprofen, hormonal birth control, IUD with progestogen",https://upload.wikimedia.org/wikipedia/commons/1/16/CC-BY_icon.svg
"Palsy , cerebral",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Amsterdam_Gait_Classification_gb.jpg
"Palsy , facial",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1d/Bellspalsy.JPG
Pancreatic cancer,Gastroenterology Hepatology Oncology,"Yellow skin, abdominal or back pain, unexplained weight loss, light-colored stools, dark urine, loss of appetite",After 40 years old,,,"Tobacco smoking, heavy alcohol intake, obesity, diabetes, certain rare genetic conditions","Medical imaging, blood tests, tissue biopsy","Not smoking, low alcohol intake, maintaining a healthy weight, low red meat diet","Surgery, radiotherapy, chemotherapy, palliative care",Five year survival rate 6%,"393,800 (2015)",,https://upload.wikimedia.org/wikipedia/commons/a/ac/2424_Exocrine_and_Endocrine_Pancreas.jpg
Pancreatic cysts,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Pancreatic neuroendocrine tumors,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/33/Diagram_showing_pancreatic_cancer_in_the_lymph_nodes_%28N_staging%29_CRUK_178.svg
Pancreatitis,"Gastroenterology, general surgery","Pain in the upper abdomen, nausea, vomiting, fever, fatty stool",,Short or long term,"Gallstones, heavy alcohol use, direct trauma, certain medications, mumps",Smoking,"Based on symptoms, blood amylase or lipase",,"Intravenous fluids, pain medication, antibiotics",,8.9 million (2015),,https://upload.wikimedia.org/wikipedia/commons/1/1e/CalcifiedPanDucStoneandSomefluid.png
Panic attacks and panic disorder,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3b/A_subjective_impression_of_a_panic_attack.png
Paraganglioma,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/01/Carotid_Body_Tumor.jpg
Paraneoplastic syndromes of the nervous system,,,,,,,,,,,,,
Parkinson 's disease,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg
Parotid tumors,,,,,,,,,,,,,
Partial anomalous pulmonary venous return,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Tapv-575px.jpg
Patent foramen ovale,Cardiac surgery,asymptomatic,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/50/ASD_Chest_X-Ray.jpg
Pathological gambling,"Psychiatry, clinical psychology","Spending a lot of money and time in casino/sports betting, Video game addiction",,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Gambling_chips.jpg
Pathological stealing,Psychiatry,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Portret_van_een_kleptomaan%2C_Th%C3%A9odore_G%C3%A9ricault%2C_1820%2C_Koninklijk_Museum_voor_Schone_Kunsten_Gent%2C_1908-F.jpg
PDA,,,,,,,,,,,,,
Peanut allergy,Emergency medicine,"Itchiness, hives, swelling, eczema, sneezing, asthma attack, abdominal pain, drop in blood pressure, diarrhea, cardiac arrest",,,Type I hypersensitivity,Childhood in developed countries,Medical history and physical examination by an approved doctor,Proper early introduction to peanuts and their products during pregnancy and infancy,EpinephrineAntihistamines (mild),,0.6% (US)1.5â€“3.0% (Western world),,https://upload.wikimedia.org/wikipedia/commons/0/03/Nut_warning_1.jpg
Pectus carinatum,Orthopedics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Ben_Fraser_pectus_carinatum.jpg
Pediatric brain tumors,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c9/ATRT-HE-Overview.jpg
