Name,link,Symptoms,Overview,Causes,Risk factors,Diagnosis,Treatment,Remedies,Medication,info-Specialty,info-Symptoms,info-Usual onset,info-Duration,info-Causes,info-Risk factors,info-Diagnostic method,info-Prevention,info-Treatment,info-Prognosis,info-Frequency,info-Medication,ImageURL
Pemphigus,https://www.mayoclinic.org/diseases-conditions/pemphigus/symptoms-causes/syc-20350404,,"Pemphigus is a rare skin disorder characterized by blistering of the skin and mucous membranes. The most common type is pemphigus vulgaris, which involves painful sores and blisters on the skin and in the mouth. Pemphigus is a disease that causes blisters and sores on the skin or mucous membranes, such as in the mouth or on the genitals.","Normally, the immune system produces antibodies to fight off harmful invaders, such viruses and bacteria. But in pemphigus, the body produces antibodies that damage cells of the skin and mucous membranes. Rarely, pemphigus is triggered by the use of angiotensin-converting enzyme inhibitors, penicillamine and other drugs.",,"In addition, one may undergo tests, including A skin biopsy. If one has pemphigus vulgaris, the doctor may have one undergo endoscopy to check for sores in the throat.",,,"The following prescription medications may be used alone or in combination, depending on the type and severity of the pemphigus and whether one has other medical conditions: Corticosteroids. Using corticosteroids for a long time or in high doses may cause serious side effects, including diabetes, bone loss, an increased risk of infection, stomach ulcers and a redistribution of body fat, leading to a round face (moon face). If first-line drugs aren't helping one, the doctor may suggest another drug, such as dapsone, intravenous immunoglobulin or rituximab (Rituxan).",Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Canine_pemphigus_foliaceus_3.jpg
Penicillin allergy,https://www.mayoclinic.org/diseases-conditions/penicillin-allergy/symptoms-causes/syc-20376222,,,,,"If the diagnosis of a penicillin allergy is uncertain, a graded drug challenge may be recommended. If one reach the therapeutic dose with no reaction, then the doctor will conclude one isn't allergic to that type of penicillin. If one is allergic to one type of penicillin, the doctor may recommend a graded challenge with a type of penicillin or cephalosporin that's less likely because of known chemical properties to cause an allergic reaction.",,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d6/WHO_Rod.svg
Pericardial effusion,https://www.mayoclinic.org/diseases-conditions/pericardial-effusion/symptoms-causes/syc-20353720,,,,,"If one has signs or symptoms of pericardial effusion, a series of blood and imaging tests will be done to confirm the diagnosis, identify possible causes and determine treatment. There are two types of echocardiograms: An electrocardiogram, also called an ECG or EKG, records electrical signals as they travel through the heart. Computerized tomography (CT) scans and magnetic resonance imaging (MRI) can detect pericardial effusion, although they're not generally used to look for it.",,,"If one don't have tamponade or there's no immediate threat of tamponade, the doctor might prescribe an anti-inflammatory drug to reduce inflammation of the pericardium: If anti-inflammatory treatments don't correct the problem or one has or are likely to have tamponade, the cardiologist may recommend one of the following procedures to drain fluids or prevent fluids from accumulating again. Aspirin Nonsteroidal anti-inflammatory drugs (NSAIDs), such as indomethacin (Indocin) or ibuprofen (Advil, Motrin IB, others) Colchicine (Colcrys) Corticosteroid, such as prednisone Drain the fluid. The doctor can enter the pericardial space with a needle and then use a small tube (catheter) to drain fluid a procedure called pericardiocentesis. If there's bleeding into the pericardium, especially due to recent heart surgery or other complications, open-heart surgery may be done to drain the pericardium and repair damage.",Cardiac surgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Hemorragic_effusion.jpg
Pericarditis,https://www.mayoclinic.org/diseases-conditions/pericarditis/symptoms-causes/syc-20352510,"If one has acute pericarditis, the most common symptom is sharp, stabbing chest pain behind the breastbone or in the left side of the chest. However, some people with acute pericarditis describe their chest pain as dull, achy or pressure-like instead, and of varying intensity.","The heart on the right shows a heart with pericarditis, in which the membrane (pericardium) that surrounds the heart is swollen and infected. Pericarditis is swelling and irritation of the pericardium, the thin saclike membrane surrounding the heart.","Pericarditis can also develop shortly after a major heart attack, due to the irritation of the underlying damaged heart muscle. In addition, a delayed form of pericarditis may occur weeks after a heart attack or heart surgery. Dressler's syndrome may also be called postpericardiotomy syndrome, post-myocardial infarction syndrome and post-cardiac injury syndrome.",,"While listening to the heart, the doctor will place a stethoscope on the chest to check for the sounds characteristic of pericarditis, which are made when the pericardial layers rub against each other. The doctor may have one undergo tests that can help determine whether one has had a heart attack, whether fluid has collected in the pericardial sac or whether there are signs of inflammation. In this test, patches with wires (electrodes) are attached to the skin to measure the electrical impulses given off by the heart. CT scanning may be done to exclude other causes of acute chest pain, such as a blood clot in a lung artery (pulmonary embolus) or a tear in the aorta (aortic dissection). This test uses high-frequency sound waves to create an image of the heart and its structures, including fluid accumulation in the pericardium. This technique uses a magnetic field and radio waves to create cross-sectional images of the heart that can reveal thickening, inflammation or other changes in the pericardium.",,,"Medications to reduce the inflammation and swelling associated with pericarditis are often prescribed, including Colchicine (Colcrys, Mitigare). This drug, which reduces inflammation in the body, may be prescribed for acute pericarditis or as a treatment for recurrent symptoms. One will likely need hospitalization if the doctor suspects cardiac tamponade, a dangerous complication of pericarditis due to fluid buildup around the heart. If cardiac tamponade is present, the doctor may recommend a procedure to relieve fluid buildup, such as: Pain relievers. Most pain associated with pericarditis responds well to treatment with pain relievers available without a prescription, such as aspirin or ibuprofen (Advil, Motrin IB, others). If one don't respond to pain relievers or colchicine or if one has recurrent symptoms of pericarditis, the doctor may prescribe a steroid medication, such as prednisone. In this procedure, a doctor uses a sterile needle or a small tube (catheter) to remove and drain the excess fluid from the pericardial cavity. If one is diagnosed with constrictive pericarditis, one may need to undergo a surgical procedure (pericardiectomy) to remove the entire pericardium that has become rigid and is making it hard for the heart to pump.",Cardiology,"Sharp chest pain, better sitting up and worse with lying down, fever",Typically sudden,Few days to weeks,"Viral infection, tuberculosis, uremic pericarditis, following a heart attack, cancer, autoimmune disorders, chest trauma",,"Based on symptoms, electrocardiogram, fluid around the heart",,"NSAIDs, colchicine, corticosteroids",Usually good,"3 per 10,000 per year",,https://upload.wikimedia.org/wikipedia/commons/4/45/PericardialeffusionCXR.PNG
Perimenopause,https://www.mayoclinic.org/diseases-conditions/perimenopause/symptoms-causes/syc-20354666,"Throughout the menopausal transition, some subtle and some not-so-subtle changes in the body may take place. If one has a persistent change of seven days or more in the length of the menstrual cycle, one may be in early perimenopause. Sleep problems are often due to hot flashes or night sweats, but sometimes sleep becomes unpredictable even without them. Mood swings, irritability or increased risk of depression may happen during perimenopause. When estrogen levels diminish, the vaginal tissues may lose lubrication and elasticity, making intercourse painful. During perimenopause, sexual arousal and desire may change. With declining estrogen levels, one start to lose bone more quickly than one replace it, increasing the risk of osteoporosis a disease that causes fragile bones.","Perimenopause means around menopause and refers to the time during which the body makes the natural transition to menopause, marking the end of the reproductive years. Once one has gone through 12 consecutive months without a menstrual period, one has officially reached menopause, and the perimenopause period is over.",,"Although not always conclusive, some evidence suggests that certain factors may make it more likely that one start perimenopause at an earlier age, including Smoking. The onset of menopause occurs one to two years earlier in women who smoke than in women who don't smoke.",,"Systemic estrogen therapy which comes in pill, skin patch, gel or cream form remains the most effective treatment option for relieving perimenopausal and menopausal hot flashes and night sweats. Depending on the personal and family medical history, the doctor may recommend estrogen in the lowest dose needed to provide symptom relief for one. An antidepressant for management of hot flashes may be useful for women who can't take estrogen for health reasons or for women who need an antidepressant for a mood disorder.","Use over-the-counter, water-based vaginal lubricants (Astroglide, K-Y jelly, others) or moisturizers (Replens, Vagisil, others). Because the risk of osteoporosis and heart disease increases at this time, a healthy diet is more important than ever. Ask the doctor if one should also take a calcium supplement and if so, what type and how much also ask if one need more vitamin D, which helps the body absorb calcium. Regular exercise and physical activity helps prevent weight gain, improves the sleep and elevates the mood. Avoid caffeine, which can make it hard to get to sleep, and avoid drinking too much alcohol, which can interrupt sleep. Practiced regularly, stress-reduction techniques, such as meditation or yoga, can promote relaxation and good health throughout the lifetime, but they may be particularly helpful during the menopausal transition.",,Gynecology,No menstrual periods for a year,48 and 52 years of age,,Usually a natural change. Can also be caused by surgery that removes both ovaries and some types of chemotherapy.,,,,"None, lifestyle changes",,,"Menopausal hormone therapy, clonidine, gabapentin, selective serotonin reuptake inhibitors",https://upload.wikimedia.org/wikipedia/commons/9/91/615_Age_and_Bone_Mass.jpg
"Periodontal disease , gingivitis",https://www.mayoclinic.org/diseases-conditions/gingivitis/symptoms-causes/syc-20354453,,"Gingivitis is a common and mild form of gum disease (periodontal disease) that causes irritation, redness and swelling (inflammation) of the gingiva, the part of the gum around the base of the teeth. Good oral health habits, such as brushing at least twice a day, flossing daily and getting regular dental checkups, can help prevent and reverse gingivitis.","The most common cause of gingivitis is poor oral hygiene that encourages plaque to form on teeth, causing inflammation of the surrounding gum tissues. Plaque that stays on the teeth can harden under the gumline into tartar (calculus), which collects bacteria. Tartar makes plaque more difficult to remove, creates a protective shield for bacteria and causes irritation along the gumline.",,"Measuring the pocket depth of the groove between the gums and the teeth by inserting a dental probe beside the tooth beneath the gum line, usually at several sites throughout the mouth. Review of the dental and medical history Examination of the teeth, gums, mouth and tongue Measuring the pocket depth Dental X-rays Other tests as needed.","Professional gingivitis care includes: If one is consistent with the home oral hygiene, one should see the return of pink, healthy gum tissue within days or weeks. The initial professional cleaning will include removing all traces of plaque, tartar and bacterial products a procedure known as scaling and root planing. Misaligned teeth or poorly fitting crowns, bridges or other dental restorations may irritate the gums and make it harder to remove plaque during daily oral care. If problems with the teeth or dental restorations contribute to the gingivitis, the dentist may recommend fixing these problems.","Steps one can take at home to prevent and reverse gingivitis include Brush the teeth twice a day or, better yet, after every meal or snack. Supplement brushing and flossing with an interdental cleaner, such as a dental pick, interdental brush or dental stick specially designed to clean between the teeth.",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Gingivitis-before-and-after-3.jpg
Periodontitis,https://www.mayoclinic.org/diseases-conditions/periodontitis/symptoms-causes/syc-20354473,,"Periodontitis is a severe gum infection that can lead to tooth loss and other serious health complications. Periodontitis (per-e-o-don-TIE-tis), also called gum disease, is a serious gum infection that damages the soft tissue and, without treatment, can destroy the bone that supports the teeth. Brushing at least twice a day, flossing daily and getting regular dental checkups can greatly improve the chances of successful treatment for periodontitis and can also reduce the chance of developing it.",,,,,"Try these measures to reduce or prevent periodontitis: Brush the teeth twice a day or, better yet, after every meal or snack. Supplement brushing and flossing with an interdental cleaner, such as a dental pick, interdental brush or dental stick specially designed to clean between the teeth.",,Dentistry,"Red, swollen, painful, bleeding gums, loose teeth, bad breath",,,Bacteria related plaque build up,"Smoking, diabetes, HIV/AIDS, certain medications","Dental examination, X-rays",,"Good oral hygiene, regular professional cleaning",,538 million (2015),oral,https://upload.wikimedia.org/wikipedia/commons/0/01/Depiction_of_a_Periodontitis_patient.png
Peripheral nerve injuries,https://www.mayoclinic.org/diseases-conditions/peripheral-nerve-injuries/symptoms-causes/syc-20355631,"With a peripheral nerve injury, one may experience symptoms that range from mild to seriously limiting the daily activities. Damage to these nerves is typically associated with muscle weakness, painful cramps and uncontrollable muscle twitching. Because these nerves relay information about touch, temperature and pain, one may experience a variety of symptoms. This group of nerves regulates activities that are not controlled consciously, such as breathing, heart and thyroid function, and digesting food.",,,,,,,,Neurology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ee/Endoneurial_fibrosis_-_very_high_mag_-_cropped.jpg
Peripheral nerve tumors,https://www.mayoclinic.org/diseases-conditions/peripheral-nerve-tumors/symptoms-causes/syc-20355070,,"Benign tumors can occur in nerves, muscle and bone. An acoustic neuroma (vestibular schwannoma) is a benign tumor that develops on the balance and hearing nerves leading from the inner ear to the brain. Peripheral nerve tumors are growths in or near the strands of tissue (nerves) that transmit signals from the brain to the rest of the body.","The spinal cord is housed within a hollow chamber within the vertebrae (spinal canal). Some are linked to known inherited syndromes, such as neurofibromatosis (types 1 and 2) and schwannomatosis.",,"MRI scan To diagnosis a peripheral nerve tumor, the doctor may ask one about signs and symptoms, discuss the medical history, and perform both a general physical and neurological exam. A computer uses the images to make a detailed view of the peripheral nerve tumor so that the doctor can evaluate how it may be affecting one. If imaging tests identify a nerve tumor, the doctor may remove and analyze a small sample of cells (biopsy) from the tumor. If one has a condition such as progressive peripheral neuropathy or enlarged nerves that mimic nerve tumors, the doctor may take a nerve biopsy.",,,,,,,,,,,,,,,,
Peripheral neuropathy,https://www.mayoclinic.org/diseases-conditions/peripheral-neuropathy/symptoms-causes/syc-20352061,"Every nerve in the peripheral system has a specific function, so symptoms depend on the type of nerves affected. Early diagnosis and treatment offer the best chance for controlling the symptoms and preventing further damage to the peripheral nerves.","Peripheral neuropathy, a result of damage to the nerves outside of the brain and spinal cord (peripheral nerves), often causes weakness, numbness and pain, usually in the hands and feet. Peripheral neuropathy can result from traumatic injuries, infections, metabolic problems, inherited causes and exposure to toxins.","Not a single disease, peripheral neuropathy is nerve damage caused by a number of conditions. Health conditions that can cause peripheral neuropathy include Other causes of neuropathies include In a number of cases, no cause can be identified (idiopathic). These include Sjogren's syndrome, lupus, rheumatoid arthritis, Guillain-Barre syndrome, chronic inflammatory demyelinating polyneuropathy and vasculitis. These include certain viral or bacterial infections, including Lyme disease, shingles, Epstein-Barr virus, hepatitis B and C, leprosy, diphtheria, and HIV. Growths, cancerous (malignant) and noncancerous (benign), can develop on the nerves or press nerves. Also, polyneuropathy can arise as a result of some cancers related to the body's immune response. These include an abnormal protein in the blood (monoclonal gammopathies), a form of bone cancer (myeloma), lymphoma and the rare disease amyloidosis. These include kidney disease, liver disease, connective tissue disorders and an underactive thyroid (hypothyroidism). Certain medications, especially those used to treat cancer (chemotherapy), can cause peripheral neuropathy. Traumas, such as from motor vehicle accidents, falls or sports injuries, can sever or damage peripheral nerves. B vitamins including B-1, B-6 and B-12 vitamin E and niacin are crucial to nerve health.",,"Besides a physical exam, which may include blood tests, diagnosis usually requires: The doctor may order tests, including Nerve function tests. At the same time as an electromyogram, the doctor or an EMG technician typically performs a nerve conduction study. The doctor will review the medical history, including the symptoms, the lifestyle, exposure to toxins, drinking habits and a family history of nervous system (neurological) diseases. The doctor might check the tendon reflexes, the muscle strength and tone, the ability to feel certain sensations, and the posture and coordination. These might include an autonomic reflex screen that records how the autonomic nerve fibers work, a sweat test that measures the body's ability to sweat, and sensory tests that record how one feel touch, vibration, cooling and heat. This involves removing a small portion of a nerve, usually a sensory nerve, to look for abnormalities.",,"To help one manage peripheral neuropathy: Take care of the feet, especially if one has diabetes. Regular exercise, such as walking three times a week, can reduce neuropathy pain, improve muscle strength and help control blood sugar levels. If one has diabetes, this will help keep the blood glucose under control and might help improve the neuropathy.","Besides medications used to treat conditions associated with peripheral neuropathy, medications used to relieve peripheral neuropathy signs and symptoms include Pain relievers. Over-the-counter pain medications, such as nonsteroidal anti-inflammatory drugs, can relieve mild symptoms. Medications containing opioids, such as tramadol (Conzip, Ultram) or oxycodone (Oxycontin, Roxicodone, others), can lead to dependence and addiction, so these drugs generally are prescribed only when other treatments fail. Capsaicin cream, which contains a substance found in hot peppers, can cause modest improvements in peripheral neuropathy symptoms. Certain tricyclic antidepressants, such as amitriptyline, doxepin (Silenor, Zonalon) and nortriptyline (Pamelor), have been found to help relieve pain by interfering with chemical processes in the brain and spinal cord that cause one to feel pain. The serotonin and norepinephrine reuptake inhibitor duloxetine (Cymbalta) and the extended-release antidepressant venlafaxine (Effexor XR) also might ease the pain of peripheral neuropathy caused by diabetes. Side effects of antidepressants may include dry mouth, nausea, drowsiness, dizziness, decreased appetite and constipation. In immune globulin therapy, one receive high levels of proteins that work as antibodies (immunoglobulins). Medications such as gabapentin (Gralise, Neurontin, Horizant) and pregabalin (Lyrica), developed to treat epilepsy, may relieve nerve pain.",Neurology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/76/Vasculitic_neuropathy_-_plastics_-_intermed_mag.jpg
Peritonitis,https://www.mayoclinic.org/diseases-conditions/peritonitis/symptoms-causes/syc-20376247,,"Peritonitis is inflammation of the peritoneum a silk-like membrane that lines the inner abdominal wall and covers the organs within the abdomen that is usually due to a bacterial or fungal infection. There are two types of peritonitis: Peritonitis requires prompt medical attention to fight the infection and, if necessary, to treat any underlying medical conditions.","In most cases, the cause is a rupture (perforation) within the abdominal wall. Peritoneal dialysis uses tubes (catheters) to remove waste products from the blood when the kidneys can no longer adequately do so. An infection may occur during peritoneal dialysis due to unclean surroundings, poor hygiene or contaminated equipment. Inflammation of the pancreas (pancreatitis) complicated by infection may lead to peritonitis if the bacteria spreads outside the pancreas. Injury or trauma may cause peritonitis by allowing bacteria or chemicals from other parts of the body to enter the peritoneum.",,"When peritonitis is associated with peritoneal dialysis, the signs and symptoms, particularly cloudy dialysis fluid, may be enough for the doctor to diagnose the condition. In cases of peritonitis in which the infection may be a result of other medical conditions (secondary peritonitis) or in which the infection arises from fluid buildup in the abdominal cavity (spontaneous bacterial peritonitis), the doctor may recommend the following tests to confirm a diagnosis: The above tests may also be necessary if one is receiving peritoneal dialysis and a diagnosis of peritonitis is uncertain after a physical exam and an examination of the dialysis fluid. Using a thin needle, the doctor may take a sample of the fluid in the peritoneum (paracentesis), especially if one receive peritoneal dialysis or have fluid in the abdomen from liver disease. If one has peritonitis, examination of this fluid may show an increased white blood cell count, which typically indicates an infection or inflammation.","One will also need to stay in the hospital for peritonitis that's caused by infection from other medical conditions (secondary peritonitis). Surgery is often needed to remove infected tissue, treat the underlying cause of the infection, and prevent the infection from spreading, especially if peritonitis is due to a ruptured appendix, stomach or colon. Depending on the signs and symptoms, the treatment while in the hospital will likely include pain medications, fluids given through a tube (intravenous fluids), oxygen and, in some cases, a blood transfusion.",,,"Emergency medicine, general surgery","Severe pain, swelling of the abdomen, fever",Sudden,,"Perforation of the intestinal tract, pancreatitis, pelvic inflammatory disease, cirrhosis, ruptured appendix","Ascites, peritoneal dialysis","Examination, blood tests, medical imaging",,"Antibiotics, intravenous fluids, pain medication, surgery",,Relatively common,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Rod_of_Asclepius2.svg
Pernio,https://www.mayoclinic.org/diseases-conditions/chilblains/symptoms-causes/syc-20351097,,"Chilblains cause red, swollen skin, which appears several hours after exposure to extreme cold. The best approach to chilblains is to avoid developing them by limiting the exposure to cold, dressing warmly and covering exposed skin.",,"Factors that may increase the risk of chilblains include Clothing that is tight or exposes skin to the cold. Wearing tight-fitting clothing and shoes in cold, damp weather may make one more susceptible to chilblains. And skin that's exposed to cold, damp conditions is more likely to develop chilblains. Chilblains are less likely in colder and drier areas because the living conditions and clothing used in these areas are more protective against cold. The risk of chilblains is higher if one live in an area with high humidity and cold, but not freezing, temperatures. People with poor circulation tend to be more sensitive to changes in temperature, making them more susceptible to chilblains.",,"The first line of treatment for chilblains generally includes measures to keep hands and feet warm and dry, such as keeping the indoor environment warm and dry, using gloves and socks, and changing damp gloves and socks when needed. If the chilblains don't clear up with these home remedies, the doctor may recommend medication, including Chilblains usually clear up in one to three weeks after cold exposure. Rewarming affected skin gently, without massaging, rubbing or applying direct heat Avoiding cold exposure whenever possible Keeping the affected skin dry and warm, but away from sources of heat Applying lotion to alleviate itching Making sure the affected skin is cleaned with an antiseptic and gently bandaged to prevent infection Avoiding scratching Quitting smoking, as smoking can constrict the blood vessels and slow wound healing Nifedipine (Procardia).",,,"Internal medicine, Podiatry",,,,,,,,,,,,
Peroneal muscular atrophy,https://www.mayoclinic.org/diseases-conditions/charcot-marie-tooth-disease/symptoms-causes/syc-20350517,,"Charcot (shahr-KOH)-Marie-Tooth disease is a group of inherited disorders that cause nerve damage. Symptoms of Charcot-Marie-Tooth disease typically appear in adolescence or early adulthood, but may also develop in midlife.","It occurs when there are mutations in the genes that affect the nerves in the feet, legs, hands and arms. That means some of the muscles in the feet may not receive the brain's signal to contract, so one is more likely to trip and fall.",,"During the physical exam, the doctor may check for: The doctor may also recommend the following tests, which can help provide information about the extent of the nerve damage and what may be causing it. Signs of muscle weakness in the arms, legs, hands and feet Decreased muscle bulk in the lower legs, resulting in an inverted champagne bottle appearance Reduced reflexes Sensory loss in the feet and hands Foot deformities, such as high arches or hammertoes Other orthopedic problems, such as mild scoliosis or hip dysplasia Nerve conduction studies.",,"Started early and followed regularly, at-home activities can provide protection and relief: Because of foot deformities and loss of sensation, regular foot care is important to help relieve symptoms and to prevent complications: Stretch regularly. If one has Charcot-Marie-Tooth disease, regular stretching can prevent or reduce joint deformities that may result from uneven pulling of muscle on the bones. By strengthening the muscles and bones, one can improve the balance and coordination, reducing the risk of falls. Muscle weakness associated with Charcot-Marie-Tooth disease may cause one to be unsteady on the feet, resulting in falls and serious injury.","If foot deformities are severe, corrective foot surgery may help alleviate pain and improve the ability to walk. Potential therapies include medications, gene therapy and in vitro procedures that may help prevent passing the disease to future generations. Occupational therapy can help through the use of assistive devices, such as special rubber grips on doorknobs or clothing with snaps instead of buttons.","Neurology, podiatry, orthopedics, physical medicine and rehabilitation","Foot drop, hammer toe, peripheral muscle wasting of lower legs and lower arm/hands",Childhood â€“ early adulthood,Lifelong,Family history (genetics),"Family history (genetics), high-arched feet, flat-arched feet","Genetic testing, nerve conduction study or electromyogram (EMG)",,management to maintain function,progressive,"1 in 2,500",,https://upload.wikimedia.org/wikipedia/commons/e/ed/Charcot-marie-tooth_foot.jpg
Persistent depressive disorder ( dysthymia ),https://www.mayoclinic.org/diseases-conditions/persistent-depressive-disorder/symptoms-causes/syc-20350929,"Persistent depressive disorder symptoms usually come and go over a period of years, and their intensity can change over time. In addition, major depression episodes may occur before or during persistent depressive disorder this is sometimes called double depression. Symptoms of persistent depressive disorder can cause significant impairment and may include In children, symptoms of persistent depressive disorder may include depressed mood and irritability.",,"As with major depression, it may involve more than one cause, such as: Biological differences. People with persistent depressive disorder may have physical changes in their brains. The significance of these changes is still uncertain, but they may eventually help pinpoint causes. Persistent depressive disorder appears to be more common in people whose blood relatives also have the condition.",,"If the doctor suspects one has persistent depressive disorder, exams and tests may include For a diagnosis of persistent depressive disorder, the main indication for an adult differs somewhat from that of a child: Symptoms caused by persistent depressive disorder can vary from person to person. When persistent depressive disorder starts before age 21, it's called early onset; if it starts at age 21 or older, it's called late onset. This evaluation can help determine if one has persistent depressive disorder or another condition that can affect mood, such as major depression, bipolar disorder or seasonal affective disorder.",,"But, in addition to professional treatment, these self-care steps can help: Stick to the treatment plan. It may seem like alcohol or drugs lessen depression-related symptoms, but in the long run they generally worsen depression and make it harder to treat.","When one has persistent depressive disorder, one may need to take antidepressants long term to keep symptoms under control If one is pregnant or breast-feeding, some antidepressants may pose an increased health risk to the unborn baby or nursing child. In some cases, children, teens and young adults under 25 may have an increase in suicidal thoughts or behavior when taking antidepressants, especially in the first few weeks after starting or when the dose is changed. Psychotherapy can help one: Selective serotonin reuptake inhibitors (SSRIs) Tricyclic antidepressants (TCAs) Serotonin and norepinephrine reuptake inhibitors (SNRIs) Adjust to a crisis or other current difficulty Identify issues that contribute to the depression and change behaviors that make it worse Identify negative beliefs and behaviors and replace them with healthy, positive ones Find better ways to cope and solve problems Explore relationships and experiences, and develop positive interactions with others Regain a sense of satisfaction and control in the life and help ease depression symptoms, such as hopelessness and anger Learn to set realistic goals for the life",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
"Personality disorder , antisocial",https://www.mayoclinic.org/diseases-conditions/antisocial-personality-disorder/symptoms-causes/syc-20353928,,"Antisocial personality disorder, sometimes called sociopathy, is a mental disorder in which a person consistently shows no regard for right and wrong and ignores the rights and feelings of others. People with antisocial personality disorder tend to antagonize, manipulate or treat others harshly or with callous indifference.",,,"Diagnosis of antisocial personality disorder is typically based on: Though typically antisocial personality disorder isn't diagnosed before age 18, some signs and symptoms may occur in childhood or the early teen years. A psychological evaluation that explores thoughts, feelings, relationships, behavior patterns and family history Personal and medical history Symptoms listed in the Diagnostic and Statistical Manual of Mental Disorders (DSM-5), published by the American Psychiatric Association Complete blood count (CBC)",,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Wiki_letter_w_cropped.svg
"Personality disorder , borderline",https://www.mayoclinic.org/diseases-conditions/borderline-personality-disorder/symptoms-causes/syc-20370237,In the U.S. call the National Suicide Prevention Lifeline at 1-800-273-TALK (1-800-273-8255) any time of day.,,,"One may be at a higher risk if a close relative the mother, father, brother or sister has the same or a similar disorder. Some people have lost or were separated from a parent or close caregiver when they were young or had parents or caregivers with substance misuse or other mental health issues.",,,,"Although no drugs have been approved by the Food and Drug Administration specifically for the treatment of borderline personality disorder, certain medications may help with symptoms or co-occurring problems such as depression, impulsiveness, aggression or anxiety. Most people improve considerably, but one may always struggle with some symptoms of borderline personality disorder.",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/98/BPD_1.png
"Personality disorder , narcissistic",https://www.mayoclinic.org/diseases-conditions/narcissistic-personality-disorder/symptoms-causes/syc-20366662,,,,,,,"The nature of narcissistic personality disorder can also leave one feeling that therapy is not worth the time and attention, and one may be tempted to quit. Stay motivated by keeping the goals in mind and reminding theself that one can work to repair damaged relationships and become more content with the life.",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg
Personality disorders,https://www.mayoclinic.org/diseases-conditions/personality-disorders/symptoms-causes/syc-20354463,,"A personality disorder is a type of mental disorder in which one has a rigid and unhealthy pattern of thinking, functioning and behaving. In some cases, one may not realize that one has a personality disorder because the way of thinking and behaving seems natural to one.","Personality is the combination of thoughts, emotions and behaviors that makes one unique. Personality forms during childhood, shaped through an interaction of: Personality disorders are thought to be caused by a combination of these genetic and environmental influences. The genes may make one vulnerable to developing a personality disorder, and a life situation may trigger the actual development.",,"If the doctor suspects one has a personality disorder, a diagnosis may be determined by: Each personality disorder has its own set of diagnostic criteria. However, according to the DSM-5, generally the diagnosis of a personality disorder includes long-term marked deviation from cultural expectations that leads to significant distress or impairment in at least two of these areas: Sometimes it can be difficult to determine the type of personality disorder, as some personality disorders share similar symptoms and more than one type may be present. The doctor may compare the symptoms to the criteria in the Diagnostic and Statistical Manual of Mental Disorders (DSM-5), published by the American Psychiatric Association.",,"Along with the professional treatment plan, consider these lifestyle and self-care strategies: Be an active participant in the care. Even if one is feeling well, don't skip the medications. Don't neglect checkups or skip visits to the primary care professional, especially if one isn't feeling well.","However, several types of psychiatric medications may help with various personality disorder symptoms. In some cases, a personality disorder may be so severe that one need to be admitted to a hospital for psychiatric care. Antidepressants may be useful if one has a depressed mood, anger, impulsivity, irritability or hopelessness, which may be associated with personality disorders. Also called neuroleptics, these may be helpful if the symptoms include losing touch with reality (psychosis) or in some cases if one has anxiety or anger problems.",Psychiatry; clinical psychology,,,,,,,,,,9â€“15%,,https://upload.wikimedia.org/wikipedia/commons/6/6c/Psi2.svg
Pes planus,https://www.mayoclinic.org/diseases-conditions/flatfeet/symptoms-causes/syc-20372604,,,,,"If one is having a lot of pain in the feet, the doctor may order tests such as: X-rays. If the doctor suspects an injured tendon, he or she may request this test, which uses sound waves to produce detailed images of soft tissues within the body. Using radio waves and a strong magnet, MRIs provide excellent detail of both hard and soft tissues.",,"If the flatfeet cause one minor pain, one might want to try: Rest. Participate in low-impact activities such as walking, biking or swimming rather than jumping and running activities.",,Orthopedics Podiatry,,,,,,,,,,,,
